,date_mutation,valeur_fonciere,code_voie,code_postal,code_com,no_plan,nb_lot,surface_reel_bati,nb_piece_prin,surf_terrain,tt_surf_carez,vente,vente_etat_futur_achev,appartement,dependance,local_indus_com,maison,PE
202,2023-06-22,198500.0,B050,31210.0,426,903,0,0,0,223,0.0,1,0,0,0,0,0,6099.875195674022
203,2023-05-09,332000.0,2855,31170.0,557,137,4,46,2,0,0.0,2,0,1,1,0,0,10202.310150951009
204,2023-12-28,1014500.0,1814,31200.0,555,362,4,117,4,0,120.39,2,0,1,1,0,0,31175.432675119875
205,2023-12-21,285800.0,0034,31620.0,136,1914,0,90,4,441,0.0,1,0,0,0,0,1,8782.591087776502
206,2023-06-22,80000.0,B058,31440.0,316,300,0,0,0,25,0.0,1,0,0,0,0,0,2458.387988180966
207,2023-12-21,108473190.0,0030,31450.0,57,138,37,190,8,2224,0.0,40,1,0,0,0,1,3333364.8416958963
208,2023-09-28,620000.0,B040,31220.0,286,755,0,0,0,261,0.0,2,0,0,0,0,0,19052.506908402487
209,2023-12-21,240000.0,0031,31600.0,299,250,0,122,3,412,0.0,1,0,0,0,0,1,7375.163964542899
210,2023-06-09,517280.0,0080,31670.0,254,17,0,111,5,1240,0.0,1,0,0,0,0,1,15895.936731578127
211,2023-07-25,201600.0,8328,31000.0,555,632,4,16,1,0,16.83,2,0,1,1,0,0,6195.137730216035
212,2023-03-28,280000.0,5448,31500.0,555,396,2,45,1,0,0.0,2,0,1,1,0,0,8604.35795863338
213,2023-09-28,127400.0,B035,31350.0,80,332,0,0,0,231,0.0,1,0,0,0,0,0,3914.9828711781884
214,2023-09-28,9840.0,B036,31270.0,588,300,0,0,0,164,0.0,1,0,0,0,0,0,302.38172254625886
215,2023-08-26,179316.0,B032,31810.0,572,908,0,0,0,73,0.0,1,0,0,0,0,0,5510.353756108227
216,2023-06-09,760000.0,0084,31570.0,480,620,16,62,3,0,0.0,4,0,1,1,0,0,23354.685887719177
217,2023-12-21,90000.0,0029,31250.0,451,585,0,93,4,205,0.0,1,0,0,0,0,1,2765.686486703587
218,2023-12-21,231000.0,0022,31700.0,351,476,3,35,2,0,37.85,3,0,1,1,0,0,7098.59531587254
219,2023-07-20,2631000.0,0970,31170.0,557,371,0,200,8,5553,0.0,6,0,0,1,0,1,80850.23496130151
220,2023-08-10,900000.0,7324,31200.0,555,71,0,210,4,1154,0.0,2,0,0,0,1,1,27656.864867035863
